ID,city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance
310,1,42,1,1,1,-,acept,furnished,R$450,"R$2,000",R$88,R$26
311,1,62,1,1,0,3,acept,not furnished,R$550,"R$2,100",R$0,R$27
312,1,106,2,3,2,18,not acept,furnished,R$950,"R$5,000",R$250,R$64
313,1,103,3,2,1,7,acept,not furnished,R$944,"R$4,400",R$126,R$56
314,1,360,3,5,3,13,acept,not furnished,"R$4,300","R$8,500","R$1,500",R$108
315,1,113,1,1,2,9,acept,furnished,R$650,"R$6,400",R$0,R$82
316,1,164,4,4,3,1,acept,not furnished,"R$1,840","R$6,000",R$550,R$77
317,1,110,3,2,3,-,acept,not furnished,R$0,"R$2,800",R$15,R$43
318,1,110,2,2,1,8,acept,furnished,"R$1,285","R$4,348",R$196,R$56
319,1,136,4,3,1,3,acept,not furnished,"R$1,800","R$4,200",R$312,R$54
320,0,65,1,1,1,9,acept,not furnished,R$380,"R$1,200",R$83,R$16
321,1,62,2,1,1,8,not acept,not furnished,R$735,"R$1,345",R$35,R$18
322,0,163,3,5,3,20,acept,not furnished,"R$1,450","R$9,800",R$350,R$125
323,1,47,2,1,1,12,acept,not furnished,R$597,"R$1,570",R$0,R$20
